current_word,next_word,count
HEUTE,NACHT,52
__ON__,JETZT,33
JETZT,WETTER,29
WETTER,WIE-AUSSEHEN,26
__ON__,MORGEN,22
ZWANZIG,GRAD,21
WIE-AUSSEHEN,MORGEN,21
BISSCHEN,REGEN,19
GRAD,__OFF__,15
WETTER,MORGEN,15
TIEF,KOMMEN,14
KOENNEN,__OFF__,13
SCHNEE,SCHNEIEN,13
__ON__,HEUTE,13
DEUTSCH,LAND,12
SONNE,WOLKE,12
GRAD,REGION,12
WIND,SCHWACH,12
SCHOEN,ABEND,12
IX,REGEN,12
SCHAUER,GEWITTER,11
REGEN,GEWITTER,11
SONST,REGION,11
REGEN,__OFF__,10
SONNE,__OFF__,10
REGEN,REGION,10
KOENNEN,REGEN,10
SCHWACH,MAESSIG,10
REGEN,KOENNEN,10
HOCH,KOMMEN,10
NACH,MITTAG,9
STERN,KOENNEN,9
EINS,ZWANZIG,9
GUT,ABEND,9
__ON__,REGION,8
WOLKE,BISSCHEN,8
MAESSIG,WEHEN,8
WOLKE,KOMMEN,8
KOMMEN,__OFF__,8
WEHEN,__OFF__,8
__ON__,TAG,8
DREI,GRAD,8
REGION,REGEN,8
MORGEN,SONNTAG,8
SCHWACH,WEHEN,8
MORGEN,FREITAG,7
IX,NORD,7
KLAR,HIMMEL,7
GEWITTER,__OFF__,7
OST,REGION,7
MORGEN,WETTER,7
VIEL,WOLKE,7
IX,AUCH,7
KOMMEN,REGEN,7
REGION,SUED,7
KOENNEN,SEHEN,7
KOMMEN,WOLKE,7
FREUNDLICH,SONNE,7
BISSCHEN,WOLKE,7
__ON__,NACHT,7
SCHNEE,REGEN,7
NORD,REGION,7
NACHT,NORD,7
LIEB,ZUSCHAUER,7
STURM,__OFF__,7
MEHR,KUEHL,7
MITTE,BERG,6
SIEBEN,ZWANZIG,6
BERG,IX,6
GEWITTER,KOENNEN,6
REGION,SONNE,6
MOEGLICH,REGEN,6
WOLKE,TEIL,6
BLEIBEN,TROCKEN,6
WETTER,DIENST,6
MEHR,FREUNDLICH,6
MEHR,WOLKE,6
OST,SUEDOST,6
MITTE,REGION,6
IX,MORGEN,6
TEIL,REGEN,6
__ON__,IX,6
OST,KOMMEN,6
IX,REGION,6
WIND,__OFF__,6
SUEDOST,REGEN,6
REGION,__OFF__,6
ZEHN,GRAD,6
__ON__,WIND,6
REGEN,KOMMEN,6
REGEN,ODER,6
__ON__,NORD,6
DEUTSCH,WETTER,6
MORGEN,DONNERSTAG,6
MINUS,DREI,6
VIEL,SONNE,6
KUEHL,__OFF__,6
ABEND,WUENSCHEN,5
WIND,KOENNEN,5
FREUNDLICH,__OFF__,5
ZEIGEN-BILDSCHIRM,__OFF__,5
AUCH,REGEN,5
